"x","y"
249,4472.8931
250,5341.543
251,4775.1792
252,6041.2021
253,4771.8838
254,4761.6421
255,5548.3301
256,5001.9121
257,4991.769
258,5665.6899
259,5049.3291
260,5485.4722
261,4891.0869
262,5812.1602
263,5334.002
264,4666.915
265,4563.2319
266,5203.708
267,4857.5439
268,5436.7041
269,4681.3442
270,4083.0649
271,5119.7788
272,5668.4092
273,4573.1709
274,4795.459
275,4187.4028
276,4288.6851
277,5368.5112
278,4723.2388
279,5069.4639
280,4393.521
281,4297.605
282,5330.3799
283,5177.6611
284,4529.8979
285,4131.874
286,5141.5781
287,3848.0061
288,4118.6479
289,4782.709
290,4564.9609
291,3550.092
292,4448.3062
293,4613.5308
294,3849.0349
295,4017.4641
296,3941.2129
297,4284.6719
298,3918.23
299,4167.6909
300,4435.9541
301,2982.47
302,4162.6792
303,3259.0049
304,4049.613
305,3771.2229
306,3326.9851
307,3602.1389
308,3735.2629
309,3374.0701
310,4242.6108
311,3298.3911
312,3248.4189
313,3761.988
314,2944.887
315,4140.9878
316,3903.4199
317,2852.896
318,2986.781
319,3679.7161
320,3484.509
321,2552.9009
322,3556.8081
323,3042.8201
324,3470.5271
325,3792.7971
326,3158.4231
327,2648.824
328,3024.1509
329,2741.863
330,2744.6799
331,2982.155
332,2795.157
333,2461.627
334,3159.157
335,2297.752
336,2761.8911
337,3127.668
338,2565.4939
339,2644.9419
340,3318.8921
341,2180.1089
342,2791.7351
343,2054.2849
344,2648.9099
345,1810.746
346,2168.6101
347,2063.542
348,1500.0291
349,2316.3279
350,2152.074
351,2439.282
352,2554.906
353,2219.22
354,2886.498
355,2479.3101
356,2319.981
357,2287.502
358,2354.9341
359,2115.0149
360,1980.583
361,3008.01
362,2506.2019
363,2058.718
364,2186.571
365,1726.118
366,2300.5591
367,2164.593
368,1631.847
369,1727.167
370,1614.408
371,2058.5449
372,1566.25
373,1714.9189
374,1735.208
375,2358.2241
376,2161.209
377,1505.657
378,2331.6299
379,2039.679
380,1712.7939
381,1599.788
382,1714.356
383,1453.035
384,1544.842
385,1589.241
386,1344.106
387,1993.658
388,1561.645
389,1666.106
390,1777.5129
391,1811.0179
392,2388.8811
393,1423.781
394,1823.073
395,1899.463
396,1266.814
397,825.0203
398,874.7407
399,1766.4659
400,1448.14
401,1516.886
402,1865.551
403,1262.193
404,2127.522
405,1805.781
406,1771.891
407,1760.519
408,1680.406
409,1343.171
410,1323.7889
411,1835.423
412,2102.073
413,2141.4021
414,1582.71
415,2441.4221
416,1995.7791
417,1924.913
418,1160.192
419,1719.7791
420,2133.761
421,1878.4821
422,1963.15
423,1605.92
424,2282.4241
425,1600.366
426,1805.141
